Tournament_Type,Opponent,Wins,Losses,Total_Matches,Win_Percentage
iBC PRO 360 - 500,Kunal,1,0,1,100.0
iBC PRO 360 - 500,GalacticParakeet3590,1,0,1,100.0
iBC PRO 360 - 500,Dinosa_VR,1,0,1,100.0
iBC PRO 360 - 500,Hamza,1,0,1,100.0
iBC PRO 360 - 500,Zain Sarwar,1,0,1,100.0
iBC PRO 360 - 500,Dax,1,0,1,100.0
iBC PRO 360 - 500,MJ,0,1,1,0.0
iBC PRO 360 - 500,Boycott Geoffrey,2,0,2,100.0
iBC PRO 360 - 500,Sai,1,0,1,100.0
iBC PRO 360 - 500,Shikhar,1,0,1,100.0
iBC PRO 360 - 500,Ikram Khan,1,0,1,100.0
iBC PRO 360 - 500,Nikhil,1,1,2,50.0
iBC PRO 360 - 500,Vishal,1,0,1,100.0
iBC PRO 360 - 500,aravindun,0,1,1,0.0
iBC PRO 360 - 500,Gautam Khandige,2,0,2,100.0
iBC PRO 360 - 500,Numan Sarfraz,1,0,1,100.0
iBC PRO 360 - 500,GoWinNow,1,1,2,50.0
iBC PRO 360 - 500,Sheikh0300,1,0,1,100.0
iBC PRO 360 - 500,James Middleton,1,0,1,100.0
iBC PRO 360 - 500,Another Cricketer,1,0,1,100.0
iBC PRO 360 - 500,deepu_vyshu,1,0,1,100.0
iBC PRO 360 - 500,Akshar1127,1,0,1,100.0
iBC PRO 360 - 500,poolmaster,1,0,1,100.0
iBC PRO 360 - 500,Mustafa Hussain,1,0,1,100.0
iBC PRO 360 - 500,Gary Belcher,1,0,1,100.0
iBC PRO 360 - 500,HarshaPopuri,1,0,1,100.0
IB Cricket League,Animal,0,1,2,0.0
IB Cricket League,Srinunaidu,0,0,1,0.0
IB Cricket League,Salman Ayub,0,0,1,0.0
IB Cricket League,ArunJalanila,0,0,1,0.0
IB Cricket League,Krishnakumar K,0,1,1,0.0
IB Cricket League,AnythingIsPossible,0,1,1,0.0
IB Cricket League,NEW ZEALAND,0,0,1,0.0
IB Cricket League,Varshnem,0,0,1,0.0
IB Cricket League,Raj Patil,0,0,1,0.0
IB Cricket League,Shoaib,0,0,1,0.0
IB Cricket League,KiranDevara,0,0,1,0.0
iBC PRO 360 - 1000,pu2wilson,0,1,1,0.0
iBC PRO 360 - 1000,kAiZZeR 007,1,0,1,100.0
iBC PRO 360 - 1000,Zeeshan,0,1,1,0.0
iBC PRO 360 - 1000,Wizheart,1,0,1,100.0
iBC PRO 360 - 1000,chiku0215,1,0,1,100.0
iBC PRO 360 - 1000,ADITHYA GOURIBHATLA,1,0,1,100.0
iBC PRO 360 - 1000,timephilospher13,1,0,1,100.0
iBC PRO 360 - 1000,Iceman,0,1,1,0.0
iBC PRO 360 - 1000,Albert,1,0,1,100.0
iBC PRO 360 - 1000,Kinshuk Kashyap,1,0,1,100.0
iBC PRO 360 - 1000,Steve,1,0,1,100.0
SpinChamps S3,Adeep kumar sahoo,0,1,1,0.0
SpinChamps S3,Donz Rohilla,1,0,1,100.0
iBC 360 - 250,VK,0,3,3,0.0
iBC 360 - 250,Shrey,1,0,1,100.0
iBC 360 - 250,Faisal hayat,3,0,3,100.0
iBC 360 - 250,Jaitik Berawala,0,2,2,0.0
iBC 360 - 250,Keerthi G,1,0,1,100.0
iBC 360 - 250,Fetalice,1,0,1,100.0
iBC 360 - 250,Gary Belcher,1,0,1,100.0
iBC 360 - 250,Vivek Venugopal,1,0,1,100.0
iBC 360 - 250,manjunath0591,1,0,1,100.0
iBC 360 - 250,Tharshith,1,0,1,100.0
iBC 360 - 250,AshMc1,1,0,1,100.0
iBC 360 - 250,uzair52,1,0,1,100.0
iBC 360 - 250,akarsh86,1,0,1,100.0
iBC 360 - 250,chiku0215,0,4,4,0.0
iBC 360 - 250,Mohammad Ahyan,1,0,1,100.0
iBC 360 - 250,Adilmirza,1,0,1,100.0
iBC 360 - 250,Arjunak23,3,0,3,100.0
iBC 360 - 250,Puneet,0,1,1,0.0
iBC 360 - 250,Rachit3069,1,1,2,50.0
iBC 360 - 250,Viraj Sankholkar,1,0,1,100.0
iBC 360 - 250,Finalstatue,1,0,1,100.0
iBC 360 - 250,AminSajwani17,1,0,1,100.0
iBC 360 - 250,fas,1,1,2,50.0
iBC 360 - 250,GoldBadger2650,1,0,1,100.0
iBC 360 - 250,NiTiN,1,0,1,100.0
iBC 360 - 250,మధు కిరణ్ తుమ్మిడి,0,1,1,0.0
iBC 360 - 250,Garvish,0,1,1,0.0
iBC 360 - 250,Shayak Mukherjee,0,1,1,0.0
iBC 360 - 250,Anil Roy,1,0,1,100.0
iBC 360 - 250,Morne Herselman,1,0,1,100.0
iBC 360 - 250,Rishab Prashanth,1,1,2,50.0
iBC 360 - 250,Lets workout,1,0,1,100.0
iBC 360 - 250,amazing11,1,0,1,100.0
iBC 360 - 250,SAi Kumar Reddy,1,0,1,100.0
iBC 360 - 250,Deepuppal,1,0,1,100.0
iBC 360 - 250,Yogesh Shrivastava,1,0,1,100.0
iBC 360 - 250,Santosh,1,0,1,100.0
iBC 360 - 250,SadhiqCMA,1,0,1,100.0
iBC 360 - 250,Dushyanth,1,0,1,100.0
iBC 360 - 250,ammarkhan87,1,0,1,100.0
iBC 360 - 250,FriendlyFlamingo9461,1,0,1,100.0
iBC 360 - 250,Mandy Mandanna,1,0,1,100.0
iBC 360 - 250,San Van,1,0,1,100.0
iBC 360 - 250,Barney,1,0,1,100.0
iBC 360 - 250,emms.shergill,1,1,2,50.0
iBC 360 - 250,WhoGamer,1,0,1,100.0
iBC 360 - 250,Meer03,1,0,1,100.0
iBC 360 - 250,GoWinNow,0,1,1,0.0
iBC 360 - 250,Adeel Prasla,1,0,1,100.0
iBC 360 - 250,Harsh,0,1,1,0.0
iBC 360 - 250,CyyM07,1,0,1,100.0
iBC 360 - 250,Praneeth,1,0,1,100.0
iBC 360 - 250,Mayank Dungarwal,0,1,1,0.0
iBC 360 - 250,Abhya73,1,0,1,100.0
iBC 360 - 250,Sumit,1,0,1,100.0
iBC 360 - 250,JumpingWren3304,1,0,1,100.0
iBC 360 - 250,GoofyTapir5006,1,0,1,100.0
iBC 360 - 1000,WhoGamer,0,1,1,0.0
iBC 360 - 1000,KYADASI SRIKANTH,1,0,1,100.0
iBC 360 - 1000,Yogesh Shrivastava,1,0,1,100.0
iBC 360 - 1000,Jyothi Swaroop,1,0,1,100.0
iBC 360 - 1000,wajihhaider1,0,1,1,0.0
iBC 360 - 1000,emms.shergill,1,0,1,100.0
iBC 360 - 1000,Arslan Cheema,1,0,1,100.0
iBC 360 - 1000,Jigar Adhiya,1,0,1,100.0
easycricket,Parth Patel,0,0,1,0.0
easycricket,Zackahmed2020,0,1,1,0.0
easycricket,Narayanharimittal,0,1,1,0.0
easycricket,Aalok,0,0,1,0.0
easycricket,Izhar Ali,0,1,1,0.0
easycricket,Mudi,0,0,1,0.0
easycricket,Bharath Simha Reddy Bobbala,0,1,1,0.0
easycricket,Isco71,0,0,1,0.0
Test Tournament,Nishant Kumar,0,1,1,0.0
